Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.954 |Erro: 0.048 |a: 1.906 |b: 1.459 |
Melhor fitness:0.956 |Erro: 0.046 |a: 1.937 |b: 1.442 |
Melhor fitness:0.956 |Erro: 0.046 |a: 1.937 |b: 1.442 |
Melhor fitness:0.956 |Erro: 0.046 |a: 1.937 |b: 1.442 |
Melhor fitness:0.956 |Erro: 0.046 |a: 1.937 |b: 1.442 |
Melhor fitness:0.956 |Erro: 0.046 |a: 1.937 |b: 1.442 |
Melhor fitness:0.956 |Erro: 0.046 |a: 1.937 |b: 1.442 |
Melhor fitness:0.971 |Erro: 0.030 |a: 1.937 |b: 1.378 |
Melhor fitness:0.971 |Erro: 0.030 |a: 1.937 |b: 1.378 |
Melhor fitness:0.971 |Erro: 0.030 |a: 1.937 |b: 1.378 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.979 |Erro: 0.021 |a: 1.937 |b: 1.310 |
Melhor fitness:0.980 |Erro: 0.021 |a: 1.937 |b: 1.278 |
Melhor fitness:0.980 |Erro: 0.021 |a: 1.937 |b: 1.278 |
Melhor fitness:0.980 |Erro: 0.021 |a: 1.937 |b: 1.278 |
Melhor fitness:0.980 |Erro: 0.021 |a: 1.937 |b: 1.278 |
Melhor fitness:0.980 |Erro: 0.021 |a: 1.937 |b: 1.278 |
Melhor fitness:0.980 |Erro: 0.021 |a: 1.937 |b: 1.278 |
Melhor fitness:0.980 |Erro: 0.021 |a: 1.937 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
Melhor fitness:0.981 |Erro: 0.019 |a: 1.940 |b: 1.278 |
